"Status","Year","Ethnicity","Organisation","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Black","Scottish Government (excl. agencies)","Scottish Government","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Scottish Housing Regulator","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Scottish Prison Service","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Scottish Public Pensions Agency","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Serious Fraud Office","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Serious Fraud Office","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Social Security Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Standards and Testing Agency","Department for Education","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Standards and Testing Agency","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Student Awards Agency for Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Submarine Delivery Agency","Ministry of Defence","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Submarine Delivery Agency","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Teaching Regulation Agency","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","The Insolvency Service","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","The National Archives","The National Archives","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Transport Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","UK Debt Management Office","HM Treasury","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","UK Export Finance","UK Export Finance","London","5","[c]","[c]","[c]"
"Leaver CS","2022","Black","UK Health Security Agency","Department of Health and Social Care","London","45","[c]","33690","32310"
"Leaver CS","2022","Black","UK Health Security Agency","Department of Health and Social Care","Outside London","20","[c]","[c]","[c]"
"Leaver CS","2022","Black","UK Hydrographic Office","Ministry of Defence","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","UK Space Agency","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","UK Space Agency","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","UK Space Agency","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","UK Statistics Authority","UK Statistics Authority","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","UK Statistics Authority","UK Statistics Authority","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","UK Supreme Court","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Valuation Office Agency","HM Revenue and Customs","London","5","[c]","[c]","[c]"
"Leaver CS","2022","Black","Valuation Office Agency","HM Revenue and Customs","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Vehicle Certification Agency","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Vehicle Certification Agency","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Water Services Regulation Authority","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Welsh Government (excl. agencies)","Welsh Government","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Welsh Government (excl. agencies)","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Welsh Revenue Authority","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Wilton Park","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Accountant in Bankruptcy","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Attorney General's Office","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Cabinet Office (excl. agencies)","Cabinet Office","London","10","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Charity Commission","Charity Commission","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Charity Commission","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Competition and Markets Authority","Competition and Markets Authority","London","10","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Competition and Markets Authority","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Criminal Injuries Compensation Authority","Ministry of Justice","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Crown Commercial Service","Cabinet Office","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Crown Commercial Service","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Crown Commercial Service","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Crown Office and Procurator Fiscal Service","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Crown Prosecution Service","Attorney General's Departments","London","10","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Crown Prosecution Service","Attorney General's Departments","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Defence Electronics and Components Agency","Ministry of Defence","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Defence Equipment and Support","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Defence Equipment and Support","Ministry of Defence","Outside London","15","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Defence Equipment and Support","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Defence Equipment and Support","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Defence Science and Technology Laboratory","Ministry of Defence","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","10","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","London","10","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Department for Education (excl. agencies)","Department for Education","London","10","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Department for Education (excl. agencies)","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","London","15","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Department for International Trade","Department for International Trade","London","5","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Department for International Trade","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Department for International Trade","Department for International Trade","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","London","5","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Department for Transport (excl. agencies)","Department for Transport","London","5","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Department for Transport (excl. agencies)","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","London","75","[c]","31150","31060"
"Leaver CS","2022","Mixed","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Outside London","165","[c]","25460","27570"
"Leaver CS","2022","Mixed","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Disclosure Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Driver and Vehicle Licensing Agency","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Driver and Vehicle Standards Agency","Department for Transport","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Driver and Vehicle Standards Agency","Department for Transport","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Education and Skills Funding Agency","Department for Education","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Education and Skills Funding Agency","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Education Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Estyn","Estyn","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","FCDO Services","Foreign, Commonwealth and Development Office","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","FCDO Services","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","FCDO Services","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Food Standards Agency","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Food Standards Agency","Food Standards Agency","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Food Standards Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","London","5","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
