"Status","Year","Disability","Function_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared non-disabled","Counter Fraud","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Counter Fraud","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Debt","London","Heterosexual / straight","190","170","29670","26400"
"In post","2022","Declared non-disabled","Debt","London","LGBO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Debt","London","Undeclared","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Debt","London","Unknown","50","45","28390","26400"
"In post","2022","Declared non-disabled","Debt","Outside London","Heterosexual / straight","2960","2625","23640","21260"
"In post","2022","Declared non-disabled","Debt","Outside London","LGBO","195","185","23380","21260"
"In post","2022","Declared non-disabled","Debt","Outside London","Undeclared","250","215","23260","21260"
"In post","2022","Declared non-disabled","Debt","Outside London","Unknown","515","430","23430","21260"
"In post","2022","Declared non-disabled","Debt","Unknown","Heterosexual / straight","30","25","26000","25110"
"In post","2022","Declared non-disabled","Debt","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Debt","Unknown","Undeclared","5","5","[c]","[c]"
