"Status","Year","Organisation","Region_ITL3","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Cabinet Office (excl. agencies)","Bristol, City of","Outside London","Female","60","60","45920","45150"
"In post","2022","Cabinet Office (excl. agencies)","Bristol, City of","Outside London","Male","45","45","54180","49700"
"In post","2022","Cabinet Office (excl. agencies)","Buckinghamshire","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Buckinghamshire","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cambridgeshire CC","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cambridgeshire CC","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Camden and City of London","London","Female","25","20","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Camden and City of London","London","Male","50","50","57010","56340"
"In post","2022","Cabinet Office (excl. agencies)","Cardiff and Vale of Glamorgan","Outside London","Female","25","25","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cardiff and Vale of Glamorgan","Outside London","Male","25","25","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Central Bedfordshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Central Bedfordshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Central Hampshire","Outside London","Female","20","20","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Central Hampshire","Outside London","Male","25","20","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","City of Edinburgh","Outside London","Female","15","15","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","City of Edinburgh","Outside London","Male","15","15","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Coventry","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Coventry","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Croydon","London","Female","15","15","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Croydon","London","Male","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Darlington","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Darlington","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Devon CC","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Devon CC","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Dorset","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Dorset","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Durham","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Durham","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East Ayrshire and North Ayrshire mainland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East Ayrshire and North Ayrshire mainland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East Cumbria","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East Cumbria","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Outside London","Male","[c]","[c]","[c]","[c]"
