"Status","Year","Age","Disability","Function_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","60-64","Declared disabled","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Debt","AA/AO","5","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Debt","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Digital, Data & Technology","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Digital, Data & Technology","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Digital, Data & Technology","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Digital, Data & Technology","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Finance","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Finance","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Grants Management","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Human Resources","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Human Resources","SEO/HEO","10","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Internal Audit","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Legal","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Legal","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Legal","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Legal","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","No function","AA/AO","155","[c]","21230","21260"
"Leaver CS","2022","60-64","Declared disabled","No function","EO","145","[c]","28070","27570"
"Leaver CS","2022","60-64","Declared disabled","No function","G6/G7","25","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","No function","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","No function","SEO/HEO","70","[c]","38540","35870"
"Leaver CS","2022","60-64","Declared disabled","No function","Unknown","45","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Project Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
