"Status","Year","Disability","Function_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared non-disabled","Unknown","SEO/HEO","SEO","7190","6960","42980","41980"
"In post","2022","Declared non-disabled","Unknown","Unknown","Unknown","50","50","39530","35200"
"In post","2022","Undeclared","Analysis","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Undeclared","Analysis","EO","EO","25","25","[c]","[c]"
"In post","2022","Undeclared","Analysis","G6/G7","G6","20","20","[c]","[c]"
"In post","2022","Undeclared","Analysis","G6/G7","G7","75","70","57580","57230"
"In post","2022","Undeclared","Analysis","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Analysis","SEO/HEO","HEO","80","80","33760","33370"
"In post","2022","Undeclared","Analysis","SEO/HEO","SEO","65","65","41130","40720"
"In post","2022","Undeclared","Commercial","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","Undeclared","Commercial","EO","EO","40","40","27190","26670"
"In post","2022","Undeclared","Commercial","G6/G7","G6","15","15","[c]","[c]"
"In post","2022","Undeclared","Commercial","G6/G7","G7","40","40","54940","54620"
"In post","2022","Undeclared","Commercial","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Undeclared","Commercial","SEO/HEO","HEO","55","55","33310","33300"
"In post","2022","Undeclared","Commercial","SEO/HEO","SEO","85","85","41630","41500"
"In post","2022","Undeclared","Commercial","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","Undeclared","Communications","AA/AO","AO","30","25","[c]","[c]"
"In post","2022","Undeclared","Communications","EO","EO","105","105","27090","26820"
"In post","2022","Undeclared","Communications","G6/G7","G6","15","15","[c]","[c]"
"In post","2022","Undeclared","Communications","G6/G7","G7","30","30","[c]","[c]"
"In post","2022","Undeclared","Communications","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Communications","SEO/HEO","HEO","85","80","34240","33370"
"In post","2022","Undeclared","Communications","SEO/HEO","SEO","50","50","40860","40520"
"In post","2022","Undeclared","Counter Fraud","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Counter Fraud","AA/AO","AO","130","110","22380","21610"
"In post","2022","Undeclared","Counter Fraud","EO","EO","360","325","28280","27570"
"In post","2022","Undeclared","Counter Fraud","G6/G7","G6","25","20","[c]","[c]"
"In post","2022","Undeclared","Counter Fraud","G6/G7","G7","90","85","56300","55210"
"In post","2022","Undeclared","Counter Fraud","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Counter Fraud","SEO/HEO","HEO","235","230","34120","33370"
"In post","2022","Undeclared","Counter Fraud","SEO/HEO","SEO","115","110","41020","40520"
"In post","2022","Undeclared","Debt","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Debt","AA/AO","AO","250","220","21790","21260"
"In post","2022","Undeclared","Debt","EO","EO","60","55","28110","27570"
"In post","2022","Undeclared","Debt","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Debt","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Undeclared","Debt","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","AA/AO","AO","60","60","21930","21380"
"In post","2022","Undeclared","Digital, Data & Technology","EO","EO","220","215","27920","26930"
"In post","2022","Undeclared","Digital, Data & Technology","G6/G7","G6","60","60","68910","67910"
"In post","2022","Undeclared","Digital, Data & Technology","G6/G7","G7","205","205","55810","54700"
"In post","2022","Undeclared","Digital, Data & Technology","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Undeclared","Digital, Data & Technology","SEO/HEO","HEO","305","300","34090","33370"
"In post","2022","Undeclared","Digital, Data & Technology","SEO/HEO","SEO","325","320","41600","40580"
"In post","2022","Undeclared","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","Undeclared","Finance","AA/AO","AO","70","60","21860","21840"
"In post","2022","Undeclared","Finance","EO","EO","120","110","27310","26900"
"In post","2022","Undeclared","Finance","G6/G7","G6","35","35","68350","67730"
"In post","2022","Undeclared","Finance","G6/G7","G7","95","95","55810","54400"
