"Status","Year","Region_ITL2","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Cornwall and Isles of Scilly","SEO/HEO","Male","Undeclared","20","20","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","SEO/HEO","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Unknown","Female","Heterosexual / straight","50","45","29090","24800"
"In post","2022","Cornwall and Isles of Scilly","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Unknown","Female","Unknown","10","5","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Unknown","Male","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Unknown","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","AA/AO","Female","Heterosexual / straight","295","250","21610","21300"
"In post","2022","Cumbria","AA/AO","Female","LGBO","15","15","[c]","[c]"
"In post","2022","Cumbria","AA/AO","Female","Undeclared","35","30","21890","21300"
"In post","2022","Cumbria","AA/AO","Female","Unknown","225","195","21510","21300"
"In post","2022","Cumbria","AA/AO","Male","Heterosexual / straight","195","190","23960","21300"
"In post","2022","Cumbria","AA/AO","Male","LGBO","20","20","[c]","[c]"
"In post","2022","Cumbria","AA/AO","Male","Undeclared","25","25","[c]","[c]"
"In post","2022","Cumbria","AA/AO","Male","Unknown","135","135","22490","21300"
"In post","2022","Cumbria","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","EO","Female","Heterosexual / straight","235","205","26110","26050"
"In post","2022","Cumbria","EO","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Cumbria","EO","Female","Undeclared","20","20","[c]","[c]"
"In post","2022","Cumbria","EO","Female","Unknown","105","90","26300","26030"
"In post","2022","Cumbria","EO","Male","Heterosexual / straight","140","135","25920","25880"
"In post","2022","Cumbria","EO","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Cumbria","EO","Male","Undeclared","25","25","[c]","[c]"
"In post","2022","Cumbria","EO","Male","Unknown","55","55","26940","25910"
"In post","2022","Cumbria","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","G6/G7","Female","Heterosexual / straight","45","40","55320","50850"
"In post","2022","Cumbria","G6/G7","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","G6/G7","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","G6/G7","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Cumbria","G6/G7","Male","Heterosexual / straight","35","35","58040","55610"
"In post","2022","Cumbria","G6/G7","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","G6/G7","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","G6/G7","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Cumbria","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
