"Status","Year","Disability","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Undeclared","London","SEO/HEO","175","[c]","36110","34710"
"New entrant CS","2022","Undeclared","London","Unknown","60","[c]","35430","32040"
"New entrant CS","2022","Undeclared","Outside London","AA/AO","510","[c]","21510","21260"
"New entrant CS","2022","Undeclared","Outside London","EO","325","[c]","26690","27550"
"New entrant CS","2022","Undeclared","Outside London","G6/G7","65","[c]","52880","50210"
"New entrant CS","2022","Undeclared","Outside London","SEO/HEO","280","[c]","34580","33080"
"New entrant CS","2022","Undeclared","Outside London","Unknown","235","[c]","28930","28200"
"New entrant CS","2022","Undeclared","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
