"Status","Year","Disability","Function_of_post","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Unknown","Human Resources","Defence Equipment and Support","Ministry of Defence","20","15","[c]","[c]"
"In post","2022","Unknown","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","5","5","[c]","[c]"
"In post","2022","Unknown","Human Resources","Department for Education (excl. agencies)","Department for Education","45","45","29630","25000"
"In post","2022","Unknown","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","35","30","37200","33120"
"In post","2022","Unknown","Human Resources","Department for International Trade","Department for International Trade","30","30","[c]","[c]"
"In post","2022","Unknown","Human Resources","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","5","5","[c]","[c]"
"In post","2022","Unknown","Human Resources","Department for Transport (excl. agencies)","Department for Transport","15","15","[c]","[c]"
"In post","2022","Unknown","Human Resources","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","30","30","38440","35310"
"In post","2022","Unknown","Human Resources","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","105","105","35610","32790"
"In post","2022","Unknown","Human Resources","Driver and Vehicle Licensing Agency","Department for Transport","10","10","[c]","[c]"
"In post","2022","Unknown","Human Resources","Driver and Vehicle Standards Agency","Department for Transport","5","5","[c]","[c]"
"In post","2022","Unknown","Human Resources","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","30","30","[c]","[c]"
"In post","2022","Unknown","Human Resources","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","Government Legal Department","Attorney General's Departments","15","15","[c]","[c]"
"In post","2022","Unknown","Human Resources","Health and Safety Executive","Department for Work and Pensions","10","10","[c]","[c]"
"In post","2022","Unknown","Human Resources","HM Courts and Tribunals Service","Ministry of Justice","5","5","[c]","[c]"
"In post","2022","Unknown","Human Resources","HM Land Registry","HM Land Registry","5","5","[c]","[c]"
"In post","2022","Unknown","Human Resources","HM Prison and Probation Service","Ministry of Justice","5","5","[c]","[c]"
"In post","2022","Unknown","Human Resources","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","335","315","32610","28920"
"In post","2022","Unknown","Human Resources","HM Treasury (excl. agencies)","HM Treasury","5","5","[c]","[c]"
"In post","2022","Unknown","Human Resources","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","Maritime and Coastguard Agency","Department for Transport","5","5","[c]","[c]"
"In post","2022","Unknown","Human Resources","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","15","15","[c]","[c]"
"In post","2022","Unknown","Human Resources","Ministry of Defence (excl. agencies)","Ministry of Defence","235","220","31340","26670"
"In post","2022","Unknown","Human Resources","Ministry of Justice (excl. agencies)","Ministry of Justice","90","85","36170","33290"
"In post","2022","Unknown","Human Resources","National Crime Agency","National Crime Agency","100","95","38950","36740"
"In post","2022","Unknown","Human Resources","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","5","5","[c]","[c]"
"In post","2022","Unknown","Human Resources","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","Registers of Scotland","Scottish Government","5","5","[c]","[c]"
"In post","2022","Unknown","Human Resources","Scottish Courts and Tribunals Service","Scottish Government","5","5","[c]","[c]"
"In post","2022","Unknown","Human Resources","Scottish Prison Service","Scottish Government","110","100","34090","35000"
"In post","2022","Unknown","Human Resources","The Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","The National Archives","The National Archives","5","5","[c]","[c]"
"In post","2022","Unknown","Human Resources","UK Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","UK Health Security Agency","Department of Health and Social Care","95","90","45940","42480"
"In post","2022","Unknown","Human Resources","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","UK Statistics Authority","UK Statistics Authority","40","35","33460","30210"
"In post","2022","Unknown","Human Resources","Valuation Office Agency","HM Revenue and Customs","10","10","[c]","[c]"
"In post","2022","Unknown","Human Resources","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","Welsh Revenue Authority","Welsh Government","5","5","[c]","[c]"
"In post","2022","Unknown","Human Resources","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","10","10","[c]","[c]"
"In post","2022","Unknown","Internal Audit","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","HM Prison and Probation Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","5","5","[c]","[c]"
"In post","2022","Unknown","Internal Audit","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","Ministry of Defence (excl. agencies)","Ministry of Defence","15","15","[c]","[c]"
"In post","2022","Unknown","Internal Audit","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","Scottish Prison Service","Scottish Government","5","5","[c]","[c]"
"In post","2022","Unknown","Internal Audit","UK Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","UK Statistics Authority","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal","Attorney General's Office","Attorney General's Departments","25","25","[c]","[c]"
"In post","2022","Unknown","Legal","Cabinet Office (excl. agencies)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal","Charity Commission","Charity Commission","10","10","[c]","[c]"
"In post","2022","Unknown","Legal","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal","Competition and Markets Authority","Competition and Markets Authority","10","10","[c]","[c]"
"In post","2022","Unknown","Legal","Crown Office and Procurator Fiscal Service","Scottish Government","20","20","[c]","[c]"
"In post","2022","Unknown","Legal","Crown Prosecution Service","Attorney General's Departments","1325","1260","38970","38000"
"In post","2022","Unknown","Legal","Department for Education (excl. agencies)","Department for Education","10","10","[c]","[c]"
"In post","2022","Unknown","Legal","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal","FCDO Services","Foreign, Commonwealth and Development Office","5","5","[c]","[c]"
"In post","2022","Unknown","Legal","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","5","5","[c]","[c]"
"In post","2022","Unknown","Legal","Government Legal Department","Attorney General's Departments","325","295","58650","63730"
"In post","2022","Unknown","Legal","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","15","15","[c]","[c]"
"In post","2022","Unknown","Legal","HM Land Registry","HM Land Registry","55","50","46740","45610"
"In post","2022","Unknown","Legal","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","380","355","41050","33370"
"In post","2022","Unknown","Legal","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2022","Unknown","Legal","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","10","10","[c]","[c]"
"In post","2022","Unknown","Legal","Ministry of Defence (excl. agencies)","Ministry of Defence","10","10","[c]","[c]"
"In post","2022","Unknown","Legal","Ministry of Justice (excl. agencies)","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal","National Crime Agency","National Crime Agency","40","40","52830","60060"
"In post","2022","Unknown","Legal","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
